country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,,,,,,,,,,,,357,292,341,339,,266,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,37.3,35.7,35.9,35.4,34.6,32.9,32,30.5,31.1,37.1,36.8,36.3,36,35.5,35.8,34.5,33.9,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,29.5,,,34.2,34.3,33.6,33.8,35.2,36,38.9,37.3,36.4,34.1,33.8,33.4,33,31.6,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,22.7,20.7,20.3,25.5,24.8,24.4,29,26.1,22.1,20.3,18.8,23.6,31.4,,40.2,41.2,35.4,38,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,10.2,14.3,,,,11.4,10,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,217,236,184,151,,94.9,133,67.1,55.5,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,216,,,66.1,89.7,95.6,100,64.5,90.8,89.7,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,222,103,115,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,24.5,19.9,23.3,22.9,20.6,23.3,24.3,,,,,,,,,,11.2,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,19.9,21.7,21.9,17.4,19,18.1,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,27,21.9,,25.5,18.2,12.5,13.7,,,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,52.2,50.4,37.4,27.5,54.7,25.7,25.4,30.2,34.8,24.6,23.3,24.3,23,24.2
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6,,48.1,52,46.9,40.9,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,42.3,,27.9,25.4,23.6,,,24.2,28.2,25.6,22.2,25.5,,25.7,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,33.5,34,32,31.4,31.1,23.9,23.3,23.3,23.6,24.2,27.6,24.7,28.1,21.2,25.4,23.3,21.2,25.4,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,23.7,17,21.1,21.8,,23.3,21.6,19.5,20.8,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9,,,70.3,62.9,59.8,56.9,,,77.6,71.5,61,54.4,49.3,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,27.9,29.7,27.1,25.3,23,22.7,23.5,25,25.4,31.8,36.2,31.5,29.7,28.6,25.7,22.8,19,15.5,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,35.1,29.2,23.4,20.2,25.7,23.4,17,18.2,15.2,17,14.8,12.2,12.8,,18.1,24.2,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,33.9,33.6,32.8,29.2,26.3,27.5,25.4,26,26.7,27.6,26.4,22.4,24.7,23.9,23.9,24.8,27.3,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,29.3,27.5,27.1,23.7,26.1,22.1,21.3,21.6,21.2,19.9,20.8,19.8,19.2,21.1,21.9,20.9,19.3,18.2,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,26.5,25.6,24,25.3,22.4,21.6,21.1,22.1,20.9,23.6,24.3,24.4,24.2,24.5,26.3,26.3,25.3,24.3,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.7,60.7,33,38.2,58.4,,,44,56.8,54.5,49.4,38.8,42,,36.6,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4,,,,,,,,,,,,,,,,,,,23.2,22.6,25.3
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24.4,,20.6,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,9.57,9.23,11.3,9.9,8.57,7.46
